t0, t, x, y, z, qx, qy, qz, qw
171.825,0.742,0.0220808,-0.209142,1.65369,-0.24219,0.0912225,0.138043,-0.956016
171.833,0.75,0.0220785,-0.209138,1.65366,-0.241486,0.0912471,0.137705,-0.95624
171.842,0.759,0.0220799,-0.209122,1.65372,-0.242492,0.09125,0.137784,-0.955974
171.85,0.767,0.0220628,-0.20911,1.65382,-0.242681,0.0908855,0.137653,-0.95598
171.858,0.775,0.0220491,-0.209062,1.65381,-0.2442,0.0904091,0.13795,-0.955595
171.867,0.784,0.0220281,-0.209033,1.65389,-0.245523,0.0897634,0.138098,-0.955296
171.875,0.792,0.0220118,-0.209012,1.65397,-0.245479,0.0899369,0.137909,-0.955318
171.883,0.8,0.0220048,-0.208959,1.65401,-0.246952,0.0893157,0.138174,-0.954958
171.892,0.809,0.0219913,-0.20891,1.65403,-0.247397,0.08921,0.138205,-0.954849
171.9,0.817,0.0219813,-0.208886,1.65407,-0.247952,0.0888058,0.138127,-0.954754
171.908,0.825,0.0219901,-0.208877,1.65413,-0.248807,0.0888049,0.138227,-0.954517
171.917,0.834,0.0219891,-0.208862,1.65408,-0.248388,0.0886247,0.13808,-0.954664
171.925,0.842,0.0219874,-0.208858,1.6541,-0.248597,0.0884382,0.138067,-0.954629
171.933,0.85,0.0219888,-0.208852,1.65413,-0.249805,0.0882195,0.138303,-0.954299
171.942,0.859,0.0219873,-0.208841,1.65412,-0.249439,0.0886951,0.138087,-0.954382
171.95,0.867,0.0219858,-0.20883,1.65413,-0.250226,0.0879414,0.138231,-0.954225
171.958,0.875,0.0219843,-0.20882,1.65412,-0.250215,0.0881556,0.138136,-0.954222
171.967,0.884,0.0219828,-0.208814,1.65412,-0.250213,0.0878994,0.138105,-0.954251
171.975,0.892,0.0219756,-0.208811,1.65415,-0.250597,0.0880487,0.138171,-0.954126
171.983,0.9,0.0219669,-0.208816,1.65418,-0.251174,0.08776,0.138335,-0.953978
171.992,0.909,0.021952,-0.208817,1.6542,-0.251293,0.0875515,0.138315,-0.953968
172,0.917,0.0219511,-0.208834,1.65425,-0.252046,0.087428,0.13854,-0.953748
172.008,0.925,0.0219533,-0.208854,1.65421,-0.251603,0.0872348,0.138549,-0.953882
172.017,0.934,0.0219491,-0.208876,1.65419,-0.251302,0.0872573,0.138479,-0.953969
