t0, t, x, y, z, qx, qy, qz, qw
1130.72,2.02,-0.141324,0.277549,1.45007,0.21435,0.318673,0.857037,-0.343496
1130.72,2.02,-0.141298,0.27727,1.45029,0.211408,0.318979,0.857813,-0.343099
1130.73,2.03,-0.14121,0.276976,1.45053,0.209398,0.319327,0.858587,-0.34207
1130.74,2.04,-0.141077,0.276629,1.45069,0.207792,0.318411,0.85961,-0.341333
1130.75,2.05,-0.140947,0.276258,1.45086,0.20675,0.317023,0.860558,-0.340867
1130.76,2.06,-0.140838,0.275847,1.45098,0.20654,0.315879,0.861059,-0.340791
1130.77,2.07,-0.140776,0.275465,1.45106,0.207904,0.314965,0.860923,-0.341152
1130.78,2.08,-0.140706,0.275076,1.451,0.208823,0.313259,0.860636,-0.342882
1130.78,2.08,-0.140671,0.274624,1.45094,0.211533,0.31337,0.859193,-0.344732
1130.79,2.09,-0.140654,0.274142,1.45084,0.21463,0.314247,0.857368,-0.346558
1130.8,2.1,-0.140635,0.273686,1.45071,0.217295,0.314554,0.855873,-0.348312
1130.81,2.11,-0.140617,0.273274,1.45072,0.220551,0.314667,0.854483,-0.349573
1130.82,2.12,-0.140594,0.272854,1.45077,0.223389,0.315395,0.853325,-0.349943
1130.83,2.13,-0.140613,0.272484,1.45081,0.226063,0.313854,0.852784,-0.350927
1130.83,2.13,-0.1407,0.272093,1.45084,0.228296,0.31288,0.852178,-0.351823
1130.84,2.14,-0.140889,0.271695,1.45093,0.229455,0.311142,0.851771,-0.353593
1130.85,2.15,-0.141126,0.271284,1.45103,0.230227,0.310222,0.851079,-0.355561
1130.86,2.16,-0.141401,0.270798,1.45103,0.231402,0.31001,0.850062,-0.35741
1130.87,2.17,-0.141658,0.270218,1.45091,0.232594,0.310164,0.849125,-0.358727
1130.88,2.18,-0.141901,0.269636,1.45104,0.232814,0.308683,0.849088,-0.359946
1130.88,2.18,-0.142092,0.268987,1.45111,0.233489,0.308418,0.848997,-0.359951
1130.89,2.19,-0.142253,0.268325,1.45107,0.234302,0.308205,0.848905,-0.359824
1130.9,2.2,-0.1425,0.267724,1.45121,0.234635,0.30943,0.84859,-0.359297
1130.91,2.21,-0.142811,0.267148,1.45123,0.235185,0.30831,0.848383,-0.360389
1130.92,2.22,-0.143169,0.266566,1.45126,0.235719,0.308112,0.847711,-0.361787
1130.93,2.23,-0.143585,0.26597,1.45141,0.237336,0.31037,0.8463,-0.362102
1130.93,2.23,-0.14393,0.265358,1.45143,0.238557,0.310366,0.845708,-0.362686
1130.94,2.24,-0.144147,0.264739,1.45142,0.240286,0.309877,0.845437,-0.362595
